n,plugin,get_time,activation_time,mode
284,disqus-comment-system,0.12339019775390625,0.7712218761444092,modified
285,ditty-news-ticker,0.14356136322021484,5.654717683792114,default
286,dk-pricr-responsive-pricing-table,0.02555251121520996,0.7334966659545898,default
287,document-gallery,0.027187585830688477,1.4096074104309082,default
288,download-manager,1.043936014175415,2.6466846466064453,default
289,download-monitor,0.16020727157592773,0.8134887218475342,default
290,drafts-scheduler,0.023674726486206055,0.9747998714447021,modified
291,dropbox-backup,0.045876502990722656,0.8982527256011963,modified
292,dropdown-menu-widget,0.1239020824432373,1.2385923862457275,default
293,duplicate-menu,0.016168594360351562,0.7410175800323486,modified
294,duplicate-page,0.03969621658325195,0.9441108703613281,modified
295,duplicate-page-and-post,0.015677452087402344,0.6974658966064453,modified
296,duplicate-post,0.015045166015625,0.7245559692382812,modified
297,duplicator,0.10316777229309082,0.7676253318786621,modified
298,duracelltomi-google-tag-manager,0.01914381980895996,0.7862730026245117,default
299,dw-question-answer,1.4711613655090332,7.998478412628174,default
300,dynamic-featured-image,0.02109074592590332,0.9892175197601318,modified
301,dynamic-to-top,0.021738529205322266,0.689455509185791,default
302,dynamic-widgets,0.025987625122070312,1.9845225811004639,default
303,easing-slider,0.17650175094604492,5.947898626327515,default
304,easy-adsense-lite,0.7661285400390625,1.095599889755249,default
305,easy-bootstrap-shortcodes,0.1335923671722412,2.454050302505493,default
306,easy-columns,0.02155900001525879,0.9471006393432617,default
307,easy-coming-soon,0.03425717353820801,0.7102828025817871,default
308,easy-custom-auto-excerpt,0.07607269287109375,0.8407375812530518,default
309,easy-custom-sidebars,0.07292699813842773,0.8579263687133789,modified
310,easy-digital-downloads,1.0095951557159424,37.60528111457825,default
311,easy-facebook-likebox,0.4059295654296875,0.9462075233459473,default
312,easy-fancybox,0.027251005172729492,0.780092716217041,default
313,easy-google-fonts,0.16925930976867676,0.7462158203125,default
314,easy-image-gallery,0.22482967376708984,0.7650802135467529,modified
315,easy-media-download,0.11945819854736328,0.736363410949707,modified
316,easy-modal,4.41949987411499,0.703416109085083,default
317,easy-pie-maintenance-mode,0.17683720588684082,0.7760331630706787,modified
318,easy-pricing-tables,0.06107330322265625,0.9242162704467773,modified
319,easy-smooth-scroll-links,0.014763593673706055,0.6984002590179443,default
320,easy-social-icons,0.13353848457336426,4.142609119415283,default
321,easy-social-share-buttons,0.021835803985595703,0.858252763748169,default
322,easy-testimonials,0.018126487731933594,1.3635971546173096,modified
323,easy-theme-and-plugin-upgrades,0.014286041259765625,1.1898276805877686,modified
324,easy-twitter-feed-widget,0.15065407752990723,0.770885705947876,default
325,easy-video-player,0.020737886428833008,0.946671724319458,default
326,easy-watermark,0.1244192123413086,2.847801685333252,modified
327,easy-wp-smtp,0.04898548126220703,0.9220290184020996,modified
328,easyazon,0.2077162265777588,0.6991407871246338,modified
329,ecwid-shopping-cart,1.7805898189544678,5.006870985031128,default
330,edit-author-slug,0.0303189754486084,0.7196688652038574,modified
331,editorial-calendar,0.024309396743774414,0.7102727890014648,modified
332,eig-sso,0.026790142059326172,1.5915329456329346,modified
333,elementor,0.03325295448303223,0.7110879421234131,default
334,elementor-templater,0.024720430374145508,0.6989305019378662,default
335,email-address-encoder,0.02113056182861328,0.71254563331604,modified
336,email-encoder-bundle,0.02285933494567871,0.7880043983459473,default
337,email-subscribers,0.397036075592041,4.090622663497925,default
338,email-users,0.10872578620910645,6.55931544303894,modified
339,embed-any-document,0.02567148208618164,0.7572946548461914,modified
340,enable-media-replace,0.024599075317382812,0.821774959564209,modified
341,enhanced-e-commerce-for-woocommerce-store,0.028689146041870117,0.7114636898040771,modified
342,enhanced-media-library,1.174515962600708,0.757765531539917,modified
343,enhanced-text-widget,0.15086007118225098,0.690786600112915,modified
344,enjoy-instagram-instagram-responsive-images-gallery-and-carousel,0.2662348747253418,2.8491547107696533,default
345,entry-views,0.1314682960510254,0.6892149448394775,modified
346,envira-gallery-lite,0.052557945251464844,0.6970241069793701,modified
347,erident-custom-login-and-dashboard,0.025255918502807617,0.8009881973266602,modified
348,eu-cookie-law,0.02290177345275879,0.7434029579162598,default
349,event-calendar-wd,0.8010001182556152,0.7383689880371094,default
350,event-list,0.1294994354248047,0.707756757736206,modified
351,event-organiser,0.6536593437194824,4.280445337295532,modified
352,event-tickets,0.5143680572509766,0.9879837036132812,default
353,events-manager,0.3813929557800293,0.8656196594238281,default
354,ewww-image-optimizer,0.03505110740661621,1.0475308895111084,modified
355,exclude-pages,0.026378631591796875,0.7553927898406982,modified
356,exploit-scanner,0.030123472213745117,1.1428189277648926,modified
357,export-user-data,0.02591729164123535,0.6914803981781006,modified
358,extended-categories-widget,5.741522312164307,0.7099895477294922,modified
359,facebook-auto-publish,0.03656768798828125,3.948784589767456,modified
360,facebook-button-plugin,0.27491211891174316,0.8770232200622559,default
361,facebook-by-weblizar,0.1532747745513916,0.761239767074585,modified
362,facebook-comments-plugin,0.01515340805053711,0.7068078517913818,modified
363,facebook-conversion-pixel,0.026234865188598633,0.7995851039886475,modified
364,facebook-like-box-widget,0.12697839736938477,0.6997470855712891,modified
365,facebook-members,0.022290468215942383,4.3744957447052,modified
366,facebook-page-feed-graph-api,0.14030957221984863,0.7335941791534424,modified
367,facebook-page-promoter-lightbox,0.014268875122070312,0.8390953540802002,modified
368,facebook-pagelike-widget,0.14171648025512695,0.7657506465911865,modified
369,facebook-thumb-fixer,0.027524948120117188,0.9555068016052246,default
370,famethemes-demo-importer,0.026185035705566406,0.7453372478485107,modified
371,fancy-box,0.024784326553344727,0.6998512744903564,default
372,fancybox-for-wordpress,0.025139808654785156,1.012087106704712,default
373,far-future-expiry-header,0.023936033248901367,0.7215898036956787,modified
374,fast-velocity-minify,2.568464756011963,0.8559768199920654,default
375,faster-image-insert,0.015235424041748047,0.7513792514801025,modified
376,favicon-by-realfavicongenerator,0.022856950759887695,0.7550032138824463,modified
377,favicon-rotator,0.021795034408569336,0.7101826667785645,default
378,favicon-xt-manager,0.01852273941040039,0.870124101638794,default
379,fb-instant-articles,0.0532839298248291,0.7546484470367432,default
380,featured-content-gallery,0.01876688003540039,0.693225622177124,default
381,featured-images-for-rss-feeds,0.6031837463378906,2.3242874145507812,modified
382,featured-video-plus,0.025304079055786133,0.7116284370422363,default
383,features-by-woothemes,0.14580917358398438,0.8414723873138428,default
384,feed-them-social,0.41936469078063965,0.8617303371429443,default
385,feedburner-plugin,0.02397012710571289,0.7093470096588135,modified
386,feedwordpress,0.04796004295349121,1.7222819328308105,modified
387,feedzy-rss-feeds,0.3595578670501709,1.0062739849090576,default
388,file-manager,0.022337675094604492,0.8538322448730469,modified
389,final-tiles-grid-gallery-lite,0.16652798652648926,2.3383145332336426,default
390,flagallery-skins,0.020784616470336914,1.1683757305145264,modified
391,flamingo,0.030063629150390625,2.8483102321624756,modified
392,flash-album-gallery,3.00775146484375,0.982177734375,default
393,flexi-pages-widget,0.24733924865722656,0.7085680961608887,modified
394,flexible-posts-widget,0.4744396209716797,0.6823177337646484,modified
395,flickr-badges-widget,0.12776589393615723,0.6881330013275146,modified
396,flickr-rss,0.020085811614990234,0.8184411525726318,modified
397,floating-social-bar,0.028465986251831055,0.9216713905334473,modified
398,floating-social-media-icon,0.036969661712646484,1.043931484222412,default
399,font,0.028612852096557617,5.55427360534668,default
400,font-awesome,0.02647233009338379,0.7103569507598877,default
401,font-awesome-4-menus,0.025224685668945312,0.899616003036499,default
402,font-organizer,0.03049612045288086,2.3807966709136963,modified
403,fonts,0.022855043411254883,0.709813117980957,modified
404,foobox-image-lightbox,0.5352568626403809,3.037195920944214,default
405,foogallery,0.5578563213348389,5.018514394760132,modified
406,footer-putter,0.2841336727142334,0.7109427452087402,default
407,force-regenerate-thumbnails,0.023778676986694336,0.7791190147399902,modified
408,forget-about-shortcode-buttons,0.02505779266357422,0.7154126167297363,default
409,form-maker,0.22763419151306152,0.7520763874053955,default
410,formget-contact-form,0.14260530471801758,0.7475652694702148,default
411,formidable,0.34908342361450195,0.7334661483764648,default
412,forms-contact,0.14470362663269043,9.404921054840088,default
413,fourteen-colors,0.014544963836669922,0.6814627647399902,modified
414,fruitful-shortcodes,0.026341915130615234,0.7030127048492432,default
415,fully-background-manager,0.02707839012145996,0.8220827579498291,default
416,fv-top-level-cats,0.14514398574829102,0.8291053771972656,modified
417,fv-wordpress-flowplayer,0.1599254608154297,0.8275377750396729,modified
418,ga-google-analytics,0.019583463668823242,0.8396317958831787,modified
419,gallery-bank,0.5401308536529541,2.5656192302703857,modified
420,gallery-by-supsystic,0.6013305187225342,11.500109195709229,modified
421,gallery-images,0.4913358688354492,2.5642282962799072,modified
422,gallery-plugin,0.9116306304931641,0.8901774883270264,default
423,gallery-video,0.14389514923095703,11.324044227600098,modified
424,gantry,0.023589611053466797,0.7823104858398438,modified
425,genesis-columns-advanced,0.025105714797973633,0.7942965030670166,default
426,genesis-connect-woocommerce,0.017372608184814453,1.152435302734375,modified
427,genesis-enews-extended,0.27536582946777344,0.7888193130493164,default
428,genesis-favicon-uploader,1.1685936450958252,1.1371073722839355,modified
429,genesis-responsive-slider,0.027100086212158203,2.280003070831299,modified
430,genesis-simple-edits,0.02822422981262207,0.677130937576294,modified
431,genesis-simple-hooks,0.028448104858398438,0.834740400314331,modified
432,genesis-simple-share,0.023398876190185547,0.7661681175231934,modified
433,genesis-simple-sidebars,0.04315018653869629,0.6968369483947754,modified
434,genesis-title-toggle,0.020572185516357422,1.1970300674438477,modified
435,genesis-translations,0.020601749420166016,1.1703834533691406,modified
436,get-the-image,0.024072647094726562,0.7032952308654785,modified
437,gigpress,0.13289403915405273,4.527771472930908,default
438,give,0.7487525939941406,31.374505758285522,default
439,glue-for-yoast-seo-amp,0.16104936599731445,1.0642890930175781,modified
440,gmail-smtp,0.10382747650146484,0.7788991928100586,modified
