n,activation_time,mode
791,13.267544412,modified
792,13.3556774413,modified
793,13.3668764328,modified
794,13.3802818008,modified
795,13.3839722832,modified
796,13.4146405625,modified
797,13.4326859148,modified
798,13.442128182,modified
799,13.44297449,modified
800,13.4565539155,modified
801,13.4577880282,modified
802,13.4696844625,modified
803,13.4746693763,modified
804,13.4770830813,modified
805,13.4925350422,modified
806,13.5113593948,modified
807,13.515950105,modified
808,13.5301729817,modified
809,13.5709467257,modified
810,13.5726644925,modified
811,13.5926452325,modified
812,13.6128739307,modified
813,13.6706097016,modified
814,13.6740221459,modified
815,13.7055288916,modified
816,13.7133948023,modified
817,13.7297898004,modified
818,13.7371211224,modified
819,13.7420230575,modified
820,13.7464233465,modified
821,13.8023905483,modified
822,13.8196594834,modified
823,13.8307758609,modified
824,13.8366047806,modified
825,13.8600042098,modified
826,13.8608921513,modified
827,13.8632205837,modified
828,13.8641953278,modified
829,13.8831799965,modified
830,13.9308252615,modified
831,13.9620745464,modified
832,13.9687126348,modified
833,17.3847239918,modified
834,14.0068086552,modified
835,14.0100011676,modified
836,14.0177327198,modified
837,14.033244566,modified
838,14.0513968119,modified
839,14.0685056234,modified
840,14.0716221382,modified
841,14.0768599566,modified
842,14.0896639327,modified
843,14.1352756106,modified
844,14.1501393845,modified
845,14.1509909712,modified
846,14.1813510601,modified
847,14.1832440153,modified
848,14.1885466137,modified
849,14.2021344,modified
850,14.2037185162,modified
851,14.2079208337,modified
852,14.2589843669,modified
853,14.2593517462,modified
854,14.2703706188,modified
855,14.2738099984,modified
856,14.2761961287,modified
857,14.3192822994,modified
858,14.3225457854,modified
859,14.3287619626,modified
860,14.3316511892,modified
861,14.3444442596,modified
862,14.3776105462,modified
863,14.3845452441,modified
864,14.4168636151,modified
865,14.4377743902,modified
866,14.4982003322,modified
867,14.5300790523,modified
868,14.5432240296,modified
869,14.5501880328,modified
870,14.5610250561,modified
871,14.5639518081,modified
872,14.583058866,modified
873,14.5990327982,modified
874,14.6223861688,modified
875,14.6592633209,modified
876,14.6711837227,modified
877,14.6992961749,modified
878,14.702778014,modified
879,14.7036198499,modified
880,15.777123,modified
881,14.7248271285,modified
882,14.7507447397,modified
883,14.7561602281,modified
884,14.7720789518,modified
885,14.8119056956,modified
886,14.8172632998,modified
887,14.8286134699,modified
888,14.8286615682,modified
889,14.8818389748,modified
890,14.8845630124,modified
891,14.8873701537,modified
892,14.9383524621,modified
893,14.9541672853,modified
894,14.9672170653,modified
895,15.0027656672,modified
896,15.013221874,modified
897,15.0249237967,modified
898,15.0952919707,modified
899,15.1034396166,modified
900,15.1615111805,modified
901,15.1765852725,modified
902,15.1925078885,modified
903,15.2162489133,modified
904,15.2485680916,modified
905,15.2514708171,modified
906,15.2560016228,modified
907,15.2569551138,modified
908,15.2667003965,modified
909,15.274160242,modified
910,15.2802140082,modified
911,15.2986106941,modified
912,15.3189074308,modified
913,16.958832,modified
914,15.3413199008,modified
915,15.361007178,modified
916,15.4170292795,modified
917,15.4280305584,modified
918,17.6346809463,modified
919,15.4456386951,modified
920,15.5239565804,modified
921,15.5753736671,modified
922,15.58279912,modified
923,15.5922533421,modified
924,15.5972761068,modified
925,15.6076591019,modified
926,15.6082123444,modified
927,15.6377408612,modified
928,15.7216332502,modified
929,16.7046385894,modified
930,15.7789812346,modified
931,15.7918677117,modified
932,15.8394064714,modified
933,15.8809480004,modified
934,15.9005634542,modified
935,15.9126534939,modified
936,15.9397817986,modified
937,15.9641060757,modified
938,15.9840667283,modified
939,2.50100,modified
940,16.4506525706,modified
941,2.50034,modified
942,2.50122,modified
943,2.50123,modified
944,2.50129,modified
945,2.50168,modified
946,2.501851161149385,modified
947,2.5023045090971805,modified
948,2.502392074741111,modified
949,2.502629024171395,modified
950,2.7030391487924395,modified
951,2.5033611239592433,modified
952,2.503686779618042,modified
953,2.5039440706586684,modified
954,2.1042122325085634,modified
955,2.504235207713698,modified
956,2.5053311004033345,modified
957,2.2059020431886356,modified
958,2.5061098513985463,modified
959,2.506368356102151,modified
960,2.506407709548087,modified
961,2.506607328986154,modified
962,2.507367077914488,modified
963,2.5074593901114577,modified
964,2.5075424628371197,modified
965,2.507580592031884,modified
966,2.5082471683183702,modified
